lsid,osmid_start,osmid_end
38336580,3472384614,452673050
843832441,7871589101,498499074
843832446,7871605204,498499074
157993905,3560461015,498612313
40940296,498657638,498657639
120877808,7944319933,505533363
41341540,505533362,505533363
42979376,538321371,538321373
673872205,633161616,633161622
182918145,672578394,672578395
53188875,4379193671,673000639
53189336,673004819,673004820
53253227,8681260788,673842494
888178960,8681260787,673842494
223203160,775347630,673842502
397223646,4000404621,674503458
383806990,304962472,759854118
856709674,790305734,790305737
64096001,790323224,790323226
403879353,790323331,790323334
65253355,4004182026,797801523
210046867,507034974,797801523
232973510,804223616,804223622
178824387,1891790749,817755179
196735426,878781129,878782090
256582492,4411607654,878782090
922687999,8565453037,996349329
383410552,2625590182,996349329
89406348,1037015501,1037015378
89426544,3665212769,1037207745
99208483,1240894730,1147608748
248869751,1199097272,1199097106
65006075,1223740321,1223740307
6313484,26190666,1279673557
272598279,1280764654,1280764283
387158427,1280764401,1280764680
388823828,3920016558,1280769931
131628403,6326868454,1281365577
112793061,6128296567,1281365577
112915694,4467921471,1282215629
24829292,7755889981,1288931070
114941432,1300632659,1300632672
116827791,1781549798,1300632688
223599904,790069576,1300632713
114941437,1300632697,1300632713
115544301,7503808423,1305075761
397303487,1305844488,1305844568
115628888,1305845272,1305844729
115628890,1305844609,1305844993
115628909,1305845118,1305845045
115868241,1307889098,1307889100
162245136,6649932303,1346361132
120053746,1347031840,1347031810
6313407,25471875,1351757372
6313401,3376489922,1351757372
121272400,12166280,1353201452
24255305,498657662,1353262889
675603404,1366228565,1366228564
125483120,1393632223,1393632191
202030484,4306091980,1394776271
4385171,26762542,1394776271
53331807,1670970497,1394848309
75803711,894787765,1444804813
131628400,1448474369,1448474362
499985540,4911547700,1448474408
130707784,1493465520,1493465518
130707773,1493465519,1493465518
231391926,8255441162,1500296703
136754877,9058289881,1500432222
141491515,1548667879,1548667882
142062863,1554860882,1554860928
143966528,1298848743,1575422566
149866819,6089786710,1628115620
149866819,1628115613,1628115620
440199461,4379196403,1639383375
151096635,1639383400,1639383379
155035034,1674801848,1674869139
82166049,1689061752,1689061750
157010357,1893340174,1692421499
157010363,3983012529,1692421499
755326560,784150987,1697985931
157770822,1700279438,1700279353
202490505,8388204718,1748057147
166045638,1775305905,1775305906
169177414,1803429859,1803429828
594652206,5669838180,1803429828
383076315,264625509,1806267680
169729659,6166923893,1808907132
157996499,1811908008,1811908018
170262322,1814122289,1814122326
170569211,1817431730,1817431799
173982993,6862789942,1847244330
326399419,672996485,1875943094
144252627,956218322,1897996006
182880639,1932396537,1932396535
183820873,1942415681,1942415655
738467009,6914929806,1973623143
66753923,807074190,2054300622
198958609,2090240796,2090240799
422866737,817566981,2113097805
422866750,817598702,2119601920
203460442,2134755037,2134755038
203460441,2134755041,2134755038
203460442,2134755039,2134755043
203460439,2134755029,2134755043
203583574,2135926581,2135926579
203636412,2136486432,2136486441
207292911,2174856881,2174856886
207308655,2175035458,2175035465
208278286,2185933502,2185933489
208278284,2185933504,2185933489
264313218,500880419,2195616569
221306069,6060710304,2303409923
221306068,2303409942,2303409946
436195785,2348095986,2348095974
343949473,2365945171,2352405184
82295960,26766549,2354097108
227936289,2365694840,2365694809
228234358,2368671392,2368671391
228234359,2369607106,2369607103
228826055,2374896659,2374896685
230277986,8109568567,2388000230
230277922,8109568559,2388000230
230277913,2388000464,2388000444
41455215,507035004,2411983097
241433413,4718840622,2490744080
67298559,9321298989,2548342367
228197619,2368312889,2600268000
255433709,2611201798,2611201797
256767573,2623968665,2623968659
4385484,26766583,2629419449
263095729,2687231731,2687231730
159157706,3678969527,2809115204
887451930,2809115206,2809115204
281505046,2854644810,2854644811
282269274,2862082927,2862082926
28117591,2862082925,2862082926
167693691,1790681597,2925742637
289588354,2931381386,2931381384
383616401,2965977255,2965977244
88760040,1030194827,2965977261
1013530876,9350863792,2982733535
310246366,3156436272,3156436273
35202856,3124164823,3156436273
312432369,4919031897,3182917808
24255516,262615270,3190214865
326617514,3862766216,3329613076
326617514,3329613082,3329613083
338381705,3454580200,3454580206
338381670,3454580242,3454580237
338381703,3454579691,3454580237
