lsid,highway
360433225,footway
360433226,footway
360433227,footway
360433228,footway
360433229,footway
360433230,footway
360433231,footway
360433232,footway
360433233,footway
360433234,footway
360433235,footway
360433236,footway
360433237,footway
360433434,footway
360433435,footway
360433436,footway
360433437,footway
360433438,footway
360433439,footway
360433440,footway
360433441,footway
360433442,footway
360433443,footway
360433444,footway
360433445,footway
360433446,footway
360433447,footway
360433448,footway
360433449,footway
360433450,footway
360433451,footway
360433452,footway
360433453,footway
360433454,footway
360433455,footway
360433456,footway
360433457,footway
360433458,footway
360433459,footway
360433460,footway
360433461,footway
360433462,footway
360433463,footway
360433464,footway
360435565,footway
360435566,footway
360435567,footway
360435568,footway
360435569,footway
360435570,footway
360435571,footway
360435573,footway
360435574,footway
360435575,footway
360435576,footway
360435577,footway
360435578,footway
360435579,footway
360435580,footway
360435581,footway
360435582,footway
360435583,footway
360435584,footway
360435585,footway
360435586,footway
360435587,footway
360435588,footway
360435589,footway
360435590,footway
360547703,residential
360547704,residential
360550366,secondary
360550367,residential
360585598,footway
360585599,footway
360585600,footway
360585601,service
360585602,footway
360585603,footway
360585604,footway
360585605,footway
360585606,footway
360585607,footway
360585608,footway
360585609,footway
360585610,footway
360585611,footway
360585612,footway
360585613,footway
360585614,footway
360585615,footway
360585616,footway
360585617,footway
360585618,footway
360585619,footway
360585620,footway
360585621,footway
360585622,footway
360585623,footway
360585624,footway
360585625,footway
360585627,footway
360585628,footway
360585630,service
360724307,tertiary
360724310,residential
360724314,residential
360777554,tertiary
361017053,secondary
361034144,tertiary
361038343,secondary
361087994,footway
361087995,service
361087996,footway
361087997,footway
361087998,footway
361087999,footway
361088000,footway
361088001,footway
361088002,steps
361088003,footway
361088004,footway
361088005,footway
361088006,footway
361088007,footway
361088008,footway
361088009,footway
361088010,footway
361088012,footway
361088014,footway
361088015,footway
361088017,footway
361089482,footway
361089483,footway
361089484,footway
361089485,footway
361089486,footway
361089487,footway
361089488,footway
361089489,footway
361089490,footway
361089491,footway
361089492,footway
361089493,footway
361089494,footway
361089495,steps
361089496,steps
361089497,footway
361089498,footway
361089499,footway
361089500,footway
361089501,footway
361089502,footway
361089503,footway
361089504,footway
361089505,footway
361089506,footway
361089507,footway
361089508,footway
361089509,footway
361089510,footway
361089511,footway
361089512,service
361089513,footway
361089514,footway
361090709,footway
361090710,footway
361090711,footway
361090712,footway
361090713,footway
361090714,footway
361090715,footway
361090716,footway
361090717,footway
361092036,footway
361092038,footway
361092039,footway
361092040,footway
361092041,footway
361092042,footway
361092043,footway
361092044,footway
361092045,footway
361092046,footway
361092047,footway
361092048,footway
361092049,footway
361092051,footway
361092206,footway
361092207,footway
361092208,footway
361092209,footway
361092210,footway
361092211,footway
361092212,footway
361092213,footway
361092214,footway
361092215,footway
361092216,footway
361092217,footway
361092351,footway
361092352,footway
361092353,footway
361092354,footway
361092355,footway
361092356,footway
361092357,footway
361092358,footway
361092359,footway
361092360,footway
361092361,footway
361092362,footway
361092363,footway
361092364,footway
361092365,footway
361092366,footway
361092593,service
361092594,service
361190641,footway
361190642,footway
361190643,footway
361190644,footway
361190645,footway
361190646,footway
361190647,footway
361190648,footway
361190649,footway
361190650,footway
361190651,footway
361190652,service
361190653,footway
361190654,footway
361190656,footway
361190659,footway
361192071,steps
361192072,footway
361192073,footway
361192074,footway
361192075,footway
361192076,footway
361192077,footway
361192078,steps
361192079,footway
361192080,footway
361192081,footway
361192082,footway
361192083,footway
361192084,footway
361192085,footway
361192087,footway
361192088,footway
361192090,footway
361192092,footway
361192093,footway
361192096,footway
361192097,footway
361192099,footway
361192100,footway
361192101,footway
361192102,footway
361192103,footway
361192104,footway
361192888,footway
361192889,footway
361192890,footway
361192891,footway
361192892,footway
361192893,footway
361192894,footway
361192895,footway
361192896,footway
361193666,footway
361193667,footway
361193668,footway
361193669,footway
361193670,footway
361193671,footway
361193672,footway
361193673,footway
361193674,footway
361193675,footway
361193676,footway
361193677,footway
361193678,footway
361193679,footway
361193680,footway
361193681,footway
361193682,footway
361193683,footway
361193684,footway
361193685,footway
361193686,footway
361193687,footway
361193688,footway
361193689,footway
361193690,footway
361193691,footway
361193692,footway
361193693,footway
361194756,footway
361194757,footway
361194758,footway
361194759,footway
361194760,footway
361194761,footway
361194762,footway
361194763,footway
361194764,footway
361194765,footway
361196814,footway
361196815,footway
361196816,footway
361196817,footway
361196818,footway
361196819,footway
361196820,steps
361196821,footway
361196822,footway
361196823,footway
361196824,footway
361196825,steps
361196826,footway
361196827,footway
361196828,footway
361196829,steps
361196830,footway
361196831,footway
361196832,footway
361196833,footway
361196834,footway
361196835,footway
361196837,footway
361196838,footway
361196839,footway
361196841,footway
361196842,footway
361196844,footway
361196845,footway
361196847,footway
361196848,footway
361196849,footway
361196850,footway
361196851,footway
361196852,footway
